date,location_key,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
2020-01-01,AD,4.236111,0.138889,8.208333,3.302,NA,-0.972222,72.773049
2020-01-02,AD,3.875,-0.722222,10.055556,6.688667,NA,-1.625,70.841314
2020-01-03,AD,4.763889,0.597222,8.402778,5.0165,NA,-0.611111,71.117248
2020-01-04,AD,4.555556,1.125,8.708333,3.81,NA,0.722222,77.33864
2020-01-05,AD,4.763889,-1,11.361111,2.4765,NA,-3.361111,60.76238
2020-01-06,AD,4.125,-0.375,10.583333,2.4765,NA,-2.111111,65.127573
2020-01-07,AD,5.472222,1.152778,11.222222,5.0165,NA,-0.888889,65.849295
2020-01-08,AD,7.458333,2.75,13.875,2.4765,NA,1.944444,68.676783
2020-01-09,AD,6.666667,2.583333,11.611111,2.6035,NA,2.388889,74.404557
2020-01-10,AD,5.333333,2.708333,8.555556,2.7305,NA,1.902778,78.658227
2020-01-11,AD,2.972222,-1.208333,7.638889,1.2065,NA,-3.722222,63.215412
2020-01-12,AD,2.555556,-2.430556,9.361111,0.0635,NA,-5.069444,61.426633
2020-01-13,AD,3,-2.041667,9.388889,5.0165,NA,-4.5,60.168032
2020-01-14,AD,5.138889,-0.402778,11.236111,5.0165,NA,-3.069444,57.351778
2020-01-15,AD,5.25,1.097222,11.069444,2.4765,NA,-1.861111,61.252592
2020-01-16,AD,5.986111,1.333333,11.291667,2.4765,NA,0.597222,69.088576
2020-01-17,AD,5.083333,0.583333,9.430556,2.54,NA,1.416667,77.534498
2020-01-18,AD,3.486111,-0.777778,9.013889,7.789333,30.48,-2.055556,67.46733
2020-01-19,AD,3.041667,-0.027778,6.875,9.990667,NA,-4.972222,58.125323
2020-01-20,AD,0.875,-2.25,3.75,7.493,NA,-5.777778,65.257062
2020-01-21,AD,4.680556,0.5,6.666667,0.9525,NA,0.236111,75.255009
2020-01-22,AD,5.041667,2.902778,8.125,14.732,20.32,4.027778,93.324597
2020-01-23,AD,5.527778,0.694444,8.819444,39.3065,40.64,4.486111,92.999988
2020-01-24,AD,4.430556,0.388889,9.916667,15.1765,269.24,2,84.372878
2020-01-25,AD,5.180556,1.180556,8.875,0,NA,2.402778,82.47903
2020-01-26,AD,4.652778,1.819444,8.055556,0.592667,NA,3.166667,90.083551
2020-01-27,AD,3.875,-0.25,8.208333,0.8255,279.4,1.5,85.00468
2020-01-28,AD,6.152778,1.625,11.680556,0.127,NA,2.541667,78.103159
2020-01-29,AD,5.722222,0.513889,11.583333,0.508,NA,0.875,71.143239
2020-01-30,AD,7.847222,4.166667,12.361111,0.0635,NA,5.458333,84.981803
2020-01-31,AD,9.388889,5.902778,14.513889,0.592667,NA,6.625,82.942981
2020-02-01,AD,8.722222,3.694444,15.277778,0,NA,6.097222,83.646839
2020-02-02,AD,10.652778,4.875,17.763889,1.778,NA,5.930556,72.713263
2020-02-03,AD,11.402778,6.069444,18.402778,0,NA,4.375,62.286912
2020-02-04,AD,9.152778,4.388889,14.986111,0,NA,0.902778,58.249856
2020-02-05,AD,5.125,0.597222,10.555556,2.413,NA,-4.305556,53.732378
2020-02-06,AD,4.791667,-0.958333,12,0,NA,-3.833333,55.528199
2020-02-07,AD,5.625,1.125,10.888889,0,NA,-1.319444,61.732936
